address, names, interfaces, created
0x22a81c80bb6bf4b797acf08351934b46193bddde, novo | novo punks, , 2023-01-08 04:10:59
0x897792d16a46f9e70446638bfc6a0d884b741f9b, pepe burb punks, , 2023-01-10 13:36:47
0x0e10e5e978ba4d1af92eb554cd730c9b97f4e571, pepe blocks,     , 2023-01-14 05:37:35
0x5a8e04a84fb2f6ad4002c824045c7c1bde10cb81, frog central,    , 2023-01-17 03:42:35
0xe302f509c4a3729791215f74299f1fa626396e5a, gm kevin,        , 2023-01-19 00:24:35
0xcce158dd5384b599fc29fe34d83b11ea8fb7a816, death of kevin,  , 2023-01-22 12:09:47
0xb0dc51536e2b4950d7d6667748a6be6fc53c3318, cute kevin,      , 2023-01-22 16:29:35
0x94cb646dd34b3b0ff7c116208f7f7ff7ac216079, ecc0s,           , 2023-01-25 12:38:11
0xe6313d1776e4043d906d5b7221be70cf470f5e87, shiba,           , 2023-01-26 02:20:47
